id,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,con
333847,87Alp Tau,Aldebaran,4.5986668,16.50976164,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.027,18.288,5.807,1.53E-05,5.71E-05,-2.15E-06,Tau
336467,53 Eri,Sceptrum,4.63633996,-14.30397756,34.6298,-79.531,-153.335,41.8,3.86,1.163,K1 III,1.082,11.7272,31.441,-8.5563,2.48E-05,2.82E-05,-3.55E-05,Eri
350878,1Pi-3 Ori,Tabit,4.83066954,6.96127723,8.0244,463.954,11.937,24.4,3.19,3.668,F4V,0.484,2.4008,7.5954,0.9727,-9.76E-06,2.90E-05,3.49E-06,Ori
351497,,Mouhoun,4.83829483,-24.36883996,131.6398,18.469,-19.837,35.515,7.91,2.313,K0 III,0.961,35.91,114.409,-54.316,-2.90E-06,3.01E-05,-2.65E-05,Eri
360575,3Iot Aur,Hassaleh,4.94989374,33.16608905,137.9488,3.817,-17.786,18,2.69,-3.009,K3II,1.49,31.348,111.139,75.467,3.49E-06,2.18E-05,1.14E-07,Aur
368017,7Eps Aur,Almaaz,5.032815,43.823308,1012.2668,0.883,-3.065,-3,3.03,-6.996,F0Ia,0.537,182.956,707.041,700.931,-2.14E-06,9.03E-06,-1.30E-05,Aur
368829,8Zet Aur,Saclateni,5.04130224,41.07583522,702.05,12.093,-19.324,13,3.69,-5.542,K4IB-II,1.154,131.44,512.6519,461.2868,-2.66E-05,6.18E-05,-4.08E-05,Aur
375368,10Eta Aur,Haedus,5.10858,41.234474,71.3228,29.771,-68.325,7,3.18,-1.086,B3V,-0.148,12.404,52.182,47.012,-5.17E-06,2.28E-05,-1.30E-05,Aur
377630,67Bet Eri,Cursa,5.130829,-5.086446,27.5896,-88.481,-70.497,-9.2,2.78,0.576,A3IIIvar,0.161,6.1992,26.7726,-2.446,9.23E-06,-1.26E-05,-8.56E-06,Eri
380548,,Mago,5.16020007,69.63940664,121.667,61.031,-62.382,-6.785,6.43,1.004,K1III,1.101,9.232,41.312,114.065,-2.81E-05,3.92E-05,-1.93E-05,Cam
384081,,Kapteyn's Star,5.1946133,-45.01851748,3.9339,6491.223,-5708.614,245.053,8.86,10.886,M0V,1.543,0.582,2.719,-2.783,-0.000100099,0.000123835,-0.000254228,Pic
388910,19Bet Ori,Rigel,5.24229757,-8.20163919,264.5503,1.87,-0.56,21,0.18,-6.933,B8 Ia,-0.03,51.601,256.71,-37.74,1.82E-06,2.12E-05,-3.77E-06,Ori
392532,13Alp Aur,Capella,5.27813768,45.99902927,13.1234,75.52,-427.13,22.2,0.08,-0.51,G0III,0.795,1.713,8.954,9.44,1.92E-06,3.56E-05,-2.55E-06,Aur
407012,24Gam Ori,Bellatrix,5.41885228,6.34973451,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.659,76.036,8.56,6.10E-06,1.81E-05,-2.92E-06,Ori
409060,112Bet Tau,Elnath,5.43819387,28.60787346,41.0509,23.28,-174.22,9,1.65,-1.417,B7III,-0.13,5.282,35.65,19.655,-9.65E-07,2.51E-05,-2.60E-05,Tau
